launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
323.459538, 5364.584408, -1610.094869, 323.937954, 5393.181653, -1640.761660, 0.478416, 41.931545
300.000000, 6014.690298, -1489.853225, 300.562508, 6041.856837, -1518.985772, 0.562508, 39.833732
300.000000, 2623.400836, -3400.818327, 300.820068, 2681.730843, -3463.369602, 0.820068, 85.528075
318.765342, 2636.026538, -3423.004237, 319.490998, 2684.678716, -3475.177310, 0.725656, 71.337676
302.848159, 2350.571684, -3370.208181, 303.320038, 2374.044652, -3395.379857, 0.471879, 34.417924
310.986590, 2721.777737, -3437.897624, 312.302451, 2766.253920, -3485.592490, 1.315860, 65.214501
345.982141, 2810.024191, -3445.517185, 347.495893, 2889.369238, -3530.604332, 1.513751, 116.341992
317.064592, 2901.632680, -3464.033454, 318.031105, 2946.378524, -3512.017497, 0.966512, 65.609899
327.850973, 2879.652552, -3490.265869, 328.639440, 2913.615357, -3526.686519, 0.788467, 49.798955
345.056559, 2935.596991, -3490.767883, 346.003028, 2980.398221, -3538.811320, 0.946469, 65.691111
304.152695, -837.063304, -3579.192499, 304.675407, -805.413849, -3613.132384, 0.522712, 46.406937
322.653252, 2738.064415, -4284.227181, 323.259143, 2777.724705, -4326.757635, 0.605891, 58.153058
310.461912, 2602.681610, -4333.112998, 311.777772, 2698.228479, -4435.574470, 1.315860, 140.098385
320.579521, 2755.369136, -4195.049533, 321.105877, 2782.924196, -4224.598717, 0.526356, 40.403411
306.232774, 2466.282923, -3391.290293, 307.068642, 2524.811593, -3454.054606, 0.835868, 85.819370
310.469164, 2465.426650, -3386.076578, 310.941044, 2489.151534, -3411.518401, 0.471879, 34.787303
325.437895, 2447.556056, -3399.189914, 325.909774, 2475.949510, -3429.638166, 0.471879, 41.632731
325.437895, 2460.205975, -3415.202156, 326.273762, 2511.919139, -3470.657734, 0.835868, 75.825935
339.741977, 2462.096990, -3429.438152, 340.577844, 2521.390864, -3493.023047, 0.835868, 86.941373
373.723202, 5960.721638, -1507.967766, 374.329093, 5960.148347, -1540.811611, 0.605891, 32.848848
388.621650, 6008.489201, -1524.606066, 389.213080, 6007.682328, -1570.831834, 0.591430, 46.232809
408.238107, 5763.223029, -1529.376132, 408.867512, 5762.654893, -1561.924622, 0.629405, 32.553448
401.250901, 4659.409059, -2784.491270, 402.217413, 4658.333153, -2846.129840, 0.966512, 61.647959
401.250901, 4693.573484, -2763.540397, 402.638559, 4692.355817, -2833.300468, 1.387658, 69.770697
360.000000, 2773.492059, -3538.977173, 360.705177, 2772.491068, -3596.323907, 0.705177, 57.355470
386.798003, 2807.460609, -3605.824078, 388.006167, 2806.406461, -3666.216194, 1.208164, 60.401316
386.798003, 3014.026318, -3179.064398, 387.382203, 3013.457068, -3211.676689, 0.584200, 32.617260
396.639771, 2384.176235, -3454.462802, 397.417349, 2383.525831, -3491.724402, 0.777579, 37.267276
396.639771, 2959.010548, -2708.206614, 397.088293, 2958.386601, -2743.952546, 0.448522, 35.751378
408.400721, 3124.450534, -3109.067796, 409.476449, 3123.536584, -3161.427954, 1.075728, 52.368134
360.000000, 2283.159894, -4063.743599, 360.946469, 2281.896212, -4136.139888, 0.946469, 72.407317
373.770428, 2279.795029, -4077.434535, 374.325706, 2279.237031, -4109.402186, 0.555278, 31.972520
